condition,turnout
Early Implementation,0.239964708685875
Early Implementation,0.570270299911499
Late Implementation,0.50877195596695
Early Implementation,0.640586793422699
Late Implementation,0.57342654466629
Late Implementation,0.728840112686157
Early Implementation,0.60827249288559
Early Implementation,0.47734734416008
Early Implementation,0.600337266921997
Early Implementation,0.728603601455689
Late Implementation,0.851807236671448
Late Implementation,0.437728941440582
Early Implementation,0.622950792312622
Early Implementation,0.584980249404907
Early Implementation,0.862903237342835
Late Implementation,0.797368407249451
Late Implementation,0.61007958650589
Early Implementation,0.630434811115265
Early Implementation,0.536486506462097
Early Implementation,0.717451512813568
Early Implementation,0.660217642784119
Early Implementation,0.586802840232849
Early Implementation,0.861932933330536
Early Implementation,0.753138065338135
Late Implementation,0.828759610652924
Early Implementation,0.52336448431015
Early Implementation,0.073618583381176
Late Implementation,0.644444465637207
Early Implementation,0.634760677814484
Early Implementation,0.759472787380219
Late Implementation,0.383714735507965
Late Implementation,0.39408865571022
Late Implementation,0.191176474094391
Early Implementation,0.536544859409332
Early Implementation,0.883928596973419
Late Implementation,1.95844161510468
Early Implementation,0.551861703395844
Early Implementation,0.506674408912659
Early Implementation,0.692307710647583
Early Implementation,0.361726939678192
Late Implementation,0.547581911087036
Late Implementation,0.809045255184174
Late Implementation,0.529069781303406
Late Implementation,0.0975014492869377
Early Implementation,0.0570563301444054
Early Implementation,0.627831697463989
Early Implementation,0.373705178499222
Early Implementation,0.539337456226349
Early Implementation,0.775675654411316
Early Implementation,0.826456308364868
Early Implementation,0.827935218811035
Late Implementation,0.441283285617828
Early Implementation,0.628356635570526
Late Implementation,0.620786488056183
Late Implementation,0.0664532333612442
Early Implementation,0.734959363937378
Early Implementation,0.684410631656647
Early Implementation,0.578461527824402
Early Implementation,0.825773179531097
Early Implementation,0.621707081794739
Late Implementation,0.367418557405472
Early Implementation,0.688980460166931
Early Implementation,0.892030835151672
Early Implementation,0.658276855945587
Late Implementation,0.51663202047348
Early Implementation,0.527897000312805
Early Implementation,0.660845577716827
Late Implementation,0.679569900035858
Early Implementation,0.664133727550507
Early Implementation,0.958801507949829
Early Implementation,0.370400995016098
Early Implementation,0.623552143573761
Early Implementation,0.630211889743805
Early Implementation,0.649776458740234
Early Implementation,0.54912281036377
Late Implementation,0.712380945682526
Late Implementation,0.647292971611023
Early Implementation,0.43393537402153
Early Implementation,0.618506491184235
Early Implementation,0.509727597236633
Early Implementation,0.648619949817658
Early Implementation,0.563845038414002
Early Implementation,0.51111114025116
Early Implementation,0.688391029834747
Early Implementation,0.124919921159744
Late Implementation,0.542827665805817
Early Implementation,0.461857378482819
Late Implementation,0.529632389545441
Late Implementation,0.69828724861145
Early Implementation,0.671296298503876
Late Implementation,0.687443554401398
Early Implementation,0.656742572784424
Early Implementation,0.557558953762054
Early Implementation,0.578947365283966
Late Implementation,0.2915980219841
Late Implementation,0.699115037918091
Early Implementation,0.553846180438995
Early Implementation,0.631578922271729
Late Implementation,0.617039561271668
Late Implementation,0.663421392440796
Early Implementation,0.655076503753662
Early Implementation,0.826865673065186
Early Implementation,0.867082059383392
Late Implementation,0.493603408336639
Late Implementation,0.807506024837494
Early Implementation,0.631637156009674
Late Implementation,0.669934630393982
Early Implementation,0.625360250473023
Early Implementation,0.688741743564606
Early Implementation,0.696874976158142
Late Implementation,0.677029371261597
Early Implementation,0.536474168300629
Late Implementation,0.670163154602051
Early Implementation,0.595848619937897
Early Implementation,0.797397792339325
Late Implementation,0.690789461135864
Early Implementation,0.779761910438538
Late Implementation,0.166492462158203
Late Implementation,0.689130425453186
Early Implementation,0.664048850536346
Early Implementation,0.667529106140137
Late Implementation,0.66713285446167
Early Implementation,0.871513962745667
Early Implementation,0.671201825141907
Early Implementation,0.845238089561462
Early Implementation,0.807890236377716
Early Implementation,0.640144646167755
Early Implementation,0.640151500701904
Early Implementation,0.614643573760986
Late Implementation,0.772234261035919
Late Implementation,0.719047605991364
Early Implementation,0.613372087478638
Late Implementation,0.680432617664337
Late Implementation,0.516248166561127
Late Implementation,1.61304342746735
Early Implementation,0.659851312637329
Early Implementation,0.68461537361145
Early Implementation,0.755999982357025
Late Implementation,0.697487413883209
Early Implementation,0.628531098365784
Early Implementation,0.714902818202972
Early Implementation,0.699428558349609
Late Implementation,0.832335352897644
Late Implementation,0.839160859584808
Late Implementation,
Late Implementation,0.810000002384186
Early Implementation,0.743137240409851
Early Implementation,0.0178458411246538
Early Implementation,1.8757575750351
Early Implementation,0.309278339147568
Early Implementation,0.763157904148102
Early Implementation,0.430769234895706
Early Implementation,0.796610176563263
Early Implementation,0.640718579292297
Late Implementation,0.875647664070129
Early Implementation,0.344827592372894
Late Implementation,0.892682909965515
Late Implementation,0.720348179340363
Early Implementation,0.739583313465118
Early Implementation,0.59186989068985
Early Implementation,0.718954265117645
Early Implementation,0.823008835315704
Early Implementation,0.629807710647583
Late Implementation,0.65720522403717
Early Implementation,0.588039875030518
Late Implementation,0.774487495422363
Early Implementation,0.690763056278229
Late Implementation,0.645901620388031
Early Implementation,0.587499976158142
Early Implementation,0.928270041942596
Early Implementation,0.429193913936615
Early Implementation,0.447204977273941
Early Implementation,0.61654132604599
Early Implementation,0.701612889766693
Early Implementation,0.848387122154236
Early Implementation,0.690155446529388
Early Implementation,0.836257338523865
Early Implementation,0.800000011920929
Early Implementation,0.485943764448166
Early Implementation,1
Early Implementation,0.904942989349365
Late Implementation,0.596613526344299
Late Implementation,0.527331173419952
Early Implementation,0.898823499679565
Early Implementation,0.560260593891144
Early Implementation,0.816901385784149
Late Implementation,0.967741906642914
Early Implementation,0.671403169631958
Early Implementation,2.05476665496826
Early Implementation,0.681858777999878
Early Implementation,0.71757572889328
Early Implementation,0.218825981020927
Early Implementation,0.573891639709473
Early Implementation,2.52777767181397
Early Implementation,0.701388895511627
Early Implementation,0.819999992847443
Late Implementation,0.699300706386566
Late Implementation,0.613772451877594
Early Implementation,0.769892454147339
Late Implementation,0.800000011920929
Early Implementation,0.615384638309479
Early Implementation,0.601449251174927
Early Implementation,0.553475916385651
Late Implementation,0.170757740736008
Late Implementation,1
Late Implementation,0.585365831851959
Late Implementation,0.730666637420654
Early Implementation,0.928994059562683
Early Implementation,0.662037014961243
Late Implementation,0.800813019275665
Early Implementation,0.643979072570801
Early Implementation,0.670640826225281
Late Implementation,0.576104760169983
Early Implementation,0.693448722362518
Late Implementation,1
Early Implementation,3.71428561210632
Early Implementation,0.555810391902924
Early Implementation,0.596436083316803
Late Implementation,0.766412198543549
Early Implementation,0.560040354728699
Late Implementation,0.471636950969696
Early Implementation,2.75128197669983
Early Implementation,1.94444441795349
Late Implementation,0.33224755525589
Late Implementation,0.665697693824768
Early Implementation,0.829787254333496
Early Implementation,0.420762866735458
Early Implementation,0.720198690891266
Early Implementation,0.650284886360169
Late Implementation,0.625
Early Implementation,0.511664092540741
Late Implementation,0.786666691303253
Late Implementation,0.698162734508514
Early Implementation,0.734856009483337
Late Implementation,0.717038512229919
Early Implementation,0.662436544895172
Late Implementation,0.587374925613403
Early Implementation,0.380836874246597
Early Implementation,0.650322556495667
Early Implementation,0.58864426612854
Early Implementation,0.707360863685608
Late Implementation,0.728782296180725
Early Implementation,0.620065808296204
Early Implementation,0.656188607215881
Early Implementation,0.737967908382416
Late Implementation,0.765625
Early Implementation,0.697095453739166
Early Implementation,0.644308924674988
Early Implementation,0.900481522083283
Early Implementation,0.650994598865509
Early Implementation,0.63505744934082
Early Implementation,0.496147930622101
Early Implementation,0.675136089324951
Late Implementation,0.701062202453613
Early Implementation,0.504796147346497
Late Implementation,0.584026634693146
Early Implementation,0.568944096565247
Late Implementation,0.670103073120117
Early Implementation,0.325852036476135
Early Implementation,0.381578952074051
Early Implementation,0.734294533729553
Late Implementation,0.500563681125641
Early Implementation,0.559380352497101
Early Implementation,0.572700321674347
Late Implementation,0.634114563465118
Early Implementation,0.534120738506317
Early Implementation,0.266467064619064
Early Implementation,0.321240484714508
Early Implementation,0.863453805446625
Early Implementation,0.832735955715179
Late Implementation,0.695694744586945
Early Implementation,0.594626188278198
Late Implementation,0.667721509933472
Early Implementation,0.700115323066711
Late Implementation,0.627814590930939
Early Implementation,0.638009071350098
Late Implementation,0.644131481647492
Early Implementation,0.664365828037262
Early Implementation,0.446406066417694
Early Implementation,0.571608066558838
Late Implementation,0.294887781143189
Late Implementation,0.625745952129364
Late Implementation,0.653846144676209
Early Implementation,1
Early Implementation,1.83492064476013
Early Implementation,0.5089430809021
Early Implementation,0.457564562559128
Late Implementation,0.653983354568481
Late Implementation,0.784056484699249
Late Implementation,0.697929382324219
Late Implementation,0.681249976158142
Late Implementation,0.691244244575501
Late Implementation,0.661092519760132
Early Implementation,0.673664093017578
Early Implementation,0.633548378944397
Early Implementation,0.910714268684387
Late Implementation,0.740926146507263
Late Implementation,0.0941515862941742
Late Implementation,0.0752647519111633
Late Implementation,0.270344823598862
Late Implementation,0.71536523103714
Late Implementation,0.691983103752136
Early Implementation,0.403050094842911
Late Implementation,0.429809361696243
Late Implementation,0.544770479202271
Late Implementation,0.64856231212616
Early Implementation,0.616150438785553
Early Implementation,0.528985500335693
Late Implementation,0.768277585506439
Early Implementation,0.663951098918915
Early Implementation,1
Early Implementation,0.645161271095276
Early Implementation,0.799715936183929
Late Implementation,0.640943169593811
Early Implementation,0.566147863864899
Late Implementation,0.462249606847763
Late Implementation,0.49740931391716
Early Implementation,0.56567794084549
